ManifestOrdinal,StructuralInstanceID,PairedBaseID,DemandAssignmentID,BaseInstanceID,BaseInstanceFile,StructuralDraw,BatteryLevel,BatteryScale,DemandRegime,UncertaintyLevel,Theta,HouseholdProfiles,AssignmentSeed,DeterministicDataID,LegacyDefaultRepositoryInstanceSeed,ActualRepositoryGeneratorSeed,RepositoryInstanceID,RepositoryInstanceHorizon,RequiredPeriodSupportEnd,MaterializedDataEnd,BasePriceDigest,ExtendedPriceDigest,BasePVReferenceDigest,ExtendedPVReferenceDigest,BaseDemandActivityDigest,DemandActivityDigest,InstancePeriodLengthDelta,ResolvedSMin,ResolvedSMax,ResolvedSI,ResolvedFUnder,ResolvedFBar,Households,AvgDemand,DevDemand,PVScale
11,SI-Drahi_1-d2-HOM-UHI-BLO-2a0359a635,PB-Drahi_1-d2-HOM-UHI-b5ceca13bf,DA-Drahi_1-HOM-d2-d93748376e,Drahi_1,codes/inst/inst2020/Drahi_1.csv,2,LOW_BATTERY,0.5,HOMOGENEOUS,HIGH_UNCERTAINTY,0.4,night;night;night;night;night,1984711345,DD-Drahi_1-d2-3687e300b3,497706974,917309722,5_56,24,44,44,c53d74e6aca0431e,613245b84169f33e,83eacc7ebcd15be2,073aca60f96fb8df,90580f4f2cef6d28,27ce700234c169a4,1.0,0.2,31.5,0.2,8.0,8.0,5,100.0,10.0,1.0
12,SI-Drahi_1-d2-HOM-UHI-BHI-ab6a2f02fb,PB-Drahi_1-d2-HOM-UHI-b5ceca13bf,DA-Drahi_1-HOM-d2-d93748376e,Drahi_1,codes/inst/inst2020/Drahi_1.csv,2,HIGH_BATTERY,2.0,HOMOGENEOUS,HIGH_UNCERTAINTY,0.4,night;night;night;night;night,1984711345,DD-Drahi_1-d2-3687e300b3,497706974,917309722,5_56,24,44,44,c53d74e6aca0431e,613245b84169f33e,83eacc7ebcd15be2,073aca60f96fb8df,90580f4f2cef6d28,27ce700234c169a4,1.0,0.2,126.0,0.2,32.0,32.0,5,100.0,10.0,1.0
13,SI-Drahi_1-d2-HET-ULO-BLO-b92c871682,PB-Drahi_1-d2-HET-ULO-1fb507b711,DA-Drahi_1-HET-d2-401a1dc502,Drahi_1,codes/inst/inst2020/Drahi_1.csv,2,LOW_BATTERY,0.5,HETEROGENEOUS,LOW_UNCERTAINTY,0.1,night;night;midday;morning;morning,186433941,DD-Drahi_1-d2-3687e300b3,442122406,917309722,5_56,24,44,44,c53d74e6aca0431e,613245b84169f33e,83eacc7ebcd15be2,073aca60f96fb8df,c85af82038d1937a,ae9b0cd20e959fb3,1.0,0.2,31.5,0.2,8.0,8.0,5,100.0,10.0,1.0
14,SI-Drahi_1-d2-HET-ULO-BHI-08b6f11b06,PB-Drahi_1-d2-HET-ULO-1fb507b711,DA-Drahi_1-HET-d2-401a1dc502,Drahi_1,codes/inst/inst2020/Drahi_1.csv,2,HIGH_BATTERY,2.0,HETEROGENEOUS,LOW_UNCERTAINTY,0.1,night;night;midday;morning;morning,186433941,DD-Drahi_1-d2-3687e300b3,442122406,917309722,5_56,24,44,44,c53d74e6aca0431e,613245b84169f33e,83eacc7ebcd15be2,073aca60f96fb8df,c85af82038d1937a,ae9b0cd20e959fb3,1.0,0.2,126.0,0.2,32.0,32.0,5,100.0,10.0,1.0
15,SI-Drahi_1-d2-HET-UHI-BLO-fbb28ca1a3,PB-Drahi_1-d2-HET-UHI-17833fabe7,DA-Drahi_1-HET-d2-401a1dc502,Drahi_1,codes/inst/inst2020/Drahi_1.csv,2,LOW_BATTERY,0.5,HETEROGENEOUS,HIGH_UNCERTAINTY,0.4,night;night;midday;morning;morning,186433941,DD-Drahi_1-d2-3687e300b3,497706974,917309722,5_56,24,44,44,c53d74e6aca0431e,613245b84169f33e,83eacc7ebcd15be2,073aca60f96fb8df,c85af82038d1937a,ae9b0cd20e959fb3,1.0,0.2,31.5,0.2,8.0,8.0,5,100.0,10.0,1.0
16,SI-Drahi_1-d2-HET-UHI-BHI-960250dacf,PB-Drahi_1-d2-HET-UHI-17833fabe7,DA-Drahi_1-HET-d2-401a1dc502,Drahi_1,codes/inst/inst2020/Drahi_1.csv,2,HIGH_BATTERY,2.0,HETEROGENEOUS,HIGH_UNCERTAINTY,0.4,night;night;midday;morning;morning,186433941,DD-Drahi_1-d2-3687e300b3,497706974,917309722,5_56,24,44,44,c53d74e6aca0431e,613245b84169f33e,83eacc7ebcd15be2,073aca60f96fb8df,c85af82038d1937a,ae9b0cd20e959fb3,1.0,0.2,126.0,0.2,32.0,32.0,5,100.0,10.0,1.0
17,SI-Drahi_10-d1-HOM-ULO-BLO-5d9176d9c1,PB-Drahi_10-d1-HOM-ULO-8c325ce52d,DA-Drahi_10-HOM-d1-91e41984db,Drahi_10,codes/inst/inst2020/Drahi_10.csv,1,LOW_BATTERY,0.5,HOMOGENEOUS,LOW_UNCERTAINTY,0.1,night;night;night;night;night,830961820,DD-Drahi_10-d1-8b5277da48,245664428,1350117667,5_56,24,44,44,56b77aad0786bffe,c3f27cc2d93281dc,471521ab581c1c83,6b515e8b9cb47d09,90580f4f2cef6d28,27ce700234c169a4,1.0,0.2,31.5,0.2,8.0,8.0,5,100.0,10.0,1.0
18,SI-Drahi_10-d1-HOM-ULO-BHI-a047a14b77,PB-Drahi_10-d1-HOM-ULO-8c325ce52d,DA-Drahi_10-HOM-d1-91e41984db,Drahi_10,codes/inst/inst2020/Drahi_10.csv,1,HIGH_BATTERY,2.0,HOMOGENEOUS,LOW_UNCERTAINTY,0.1,night;night;night;night;night,830961820,DD-Drahi_10-d1-8b5277da48,245664428,1350117667,5_56,24,44,44,56b77aad0786bffe,c3f27cc2d93281dc,471521ab581c1c83,6b515e8b9cb47d09,90580f4f2cef6d28,27ce700234c169a4,1.0,0.2,126.0,0.2,32.0,32.0,5,100.0,10.0,1.0
19,SI-Drahi_10-d1-HOM-UHI-BLO-ab50d8f227,PB-Drahi_10-d1-HOM-UHI-65a10b9a6d,DA-Drahi_10-HOM-d1-91e41984db,Drahi_10,codes/inst/inst2020/Drahi_10.csv,1,LOW_BATTERY,0.5,HOMOGENEOUS,HIGH_UNCERTAINTY,0.4,night;night;night;night;night,830961820,DD-Drahi_10-d1-8b5277da48,93422615,1350117667,5_56,24,44,44,56b77aad0786bffe,c3f27cc2d93281dc,471521ab581c1c83,6b515e8b9cb47d09,90580f4f2cef6d28,27ce700234c169a4,1.0,0.2,31.5,0.2,8.0,8.0,5,100.0,10.0,1.0
20,SI-Drahi_10-d1-HOM-UHI-BHI-8c63ecedf7,PB-Drahi_10-d1-HOM-UHI-65a10b9a6d,DA-Drahi_10-HOM-d1-91e41984db,Drahi_10,codes/inst/inst2020/Drahi_10.csv,1,HIGH_BATTERY,2.0,HOMOGENEOUS,HIGH_UNCERTAINTY,0.4,night;night;night;night;night,830961820,DD-Drahi_10-d1-8b5277da48,93422615,1350117667,5_56,24,44,44,56b77aad0786bffe,c3f27cc2d93281dc,471521ab581c1c83,6b515e8b9cb47d09,90580f4f2cef6d28,27ce700234c169a4,1.0,0.2,126.0,0.2,32.0,32.0,5,100.0,10.0,1.0
21,SI-Drahi_10-d1-HET-ULO-BLO-d3d04947f5,PB-Drahi_10-d1-HET-ULO-d8d80a9180,DA-Drahi_10-HET-d1-fe757bf6ac,Drahi_10,codes/inst/inst2020/Drahi_10.csv,1,LOW_BATTERY,0.5,HETEROGENEOUS,LOW_UNCERTAINTY,0.1,morning;morning;night;midday;night,452167635,DD-Drahi_10-d1-8b5277da48,245664428,1350117667,5_56,24,44,44,56b77aad0786bffe,c3f27cc2d93281dc,471521ab581c1c83,6b515e8b9cb47d09,4131b301aa4d7fa8,08ee732f096c1921,1.0,0.2,31.5,0.2,8.0,8.0,5,100.0,10.0,1.0
22,SI-Drahi_10-d1-HET-ULO-BHI-72f1b1f90c,PB-Drahi_10-d1-HET-ULO-d8d80a9180,DA-Drahi_10-HET-d1-fe757bf6ac,Drahi_10,codes/inst/inst2020/Drahi_10.csv,1,HIGH_BATTERY,2.0,HETEROGENEOUS,LOW_UNCERTAINTY,0.1,morning;morning;night;midday;night,452167635,DD-Drahi_10-d1-8b5277da48,245664428,1350117667,5_56,24,44,44,56b77aad0786bffe,c3f27cc2d93281dc,471521ab581c1c83,6b515e8b9cb47d09,4131b301aa4d7fa8,08ee732f096c1921,1.0,0.2,126.0,0.2,32.0,32.0,5,100.0,10.0,1.0
23,SI-Drahi_10-d1-HET-UHI-BLO-89941f6a68,PB-Drahi_10-d1-HET-UHI-7cb1df11d2,DA-Drahi_10-HET-d1-fe757bf6ac,Drahi_10,codes/inst/inst2020/Drahi_10.csv,1,LOW_BATTERY,0.5,HETEROGENEOUS,HIGH_UNCERTAINTY,0.4,morning;morning;night;midday;night,452167635,DD-Drahi_10-d1-8b5277da48,93422615,1350117667,5_56,24,44,44,56b77aad0786bffe,c3f27cc2d93281dc,471521ab581c1c83,6b515e8b9cb47d09,4131b301aa4d7fa8,08ee732f096c1921,1.0,0.2,31.5,0.2,8.0,8.0,5,100.0,10.0,1.0
24,SI-Drahi_10-d1-HET-UHI-BHI-db02894326,PB-Drahi_10-d1-HET-UHI-7cb1df11d2,DA-Drahi_10-HET-d1-fe757bf6ac,Drahi_10,codes/inst/inst2020/Drahi_10.csv,1,HIGH_BATTERY,2.0,HETEROGENEOUS,HIGH_UNCERTAINTY,0.4,morning;morning;night;midday;night,452167635,DD-Drahi_10-d1-8b5277da48,93422615,1350117667,5_56,24,44,44,56b77aad0786bffe,c3f27cc2d93281dc,471521ab581c1c83,6b515e8b9cb47d09,4131b301aa4d7fa8,08ee732f096c1921,1.0,0.2,126.0,0.2,32.0,32.0,5,100.0,10.0,1.0
25,SI-Drahi_10-d2-HOM-ULO-BLO-69e23cfb37,PB-Drahi_10-d2-HOM-ULO-8359d3f19c,DA-Drahi_10-HOM-d2-da6589625d,Drahi_10,codes/inst/inst2020/Drahi_10.csv,2,LOW_BATTERY,0.5,HOMOGENEOUS,LOW_UNCERTAINTY,0.1,midday;midday;midday;midday;midday,830958979,DD-Drahi_10-d2-c6937b7632,245664428,613433734,5_56,24,44,44,54e3665c3e322d55,c62d6a0a4a5e678b,471521ab581c1c83,6b515e8b9cb47d09,1f2cebb9e1305906,37b1823116b2ec1b,1.0,0.2,31.5,0.2,8.0,8.0,5,100.0,10.0,1.0
26,SI-Drahi_10-d2-HOM-ULO-BHI-d57246529b,PB-Drahi_10-d2-HOM-ULO-8359d3f19c,DA-Drahi_10-HOM-d2-da6589625d,Drahi_10,codes/inst/inst2020/Drahi_10.csv,2,HIGH_BATTERY,2.0,HOMOGENEOUS,LOW_UNCERTAINTY,0.1,midday;midday;midday;midday;midday,830958979,DD-Drahi_10-d2-c6937b7632,245664428,613433734,5_56,24,44,44,54e3665c3e322d55,c62d6a0a4a5e678b,471521ab581c1c83,6b515e8b9cb47d09,1f2cebb9e1305906,37b1823116b2ec1b,1.0,0.2,126.0,0.2,32.0,32.0,5,100.0,10.0,1.0
27,SI-Drahi_10-d2-HOM-UHI-BLO-954d790b18,PB-Drahi_10-d2-HOM-UHI-ada6bbacc8,DA-Drahi_10-HOM-d2-da6589625d,Drahi_10,codes/inst/inst2020/Drahi_10.csv,2,LOW_BATTERY,0.5,HOMOGENEOUS,HIGH_UNCERTAINTY,0.4,midday;midday;midday;midday;midday,830958979,DD-Drahi_10-d2-c6937b7632,93422615,613433734,5_56,24,44,44,54e3665c3e322d55,c62d6a0a4a5e678b,471521ab581c1c83,6b515e8b9cb47d09,1f2cebb9e1305906,37b1823116b2ec1b,1.0,0.2,31.5,0.2,8.0,8.0,5,100.0,10.0,1.0
28,SI-Drahi_10-d2-HOM-UHI-BHI-45dae4180c,PB-Drahi_10-d2-HOM-UHI-ada6bbacc8,DA-Drahi_10-HOM-d2-da6589625d,Drahi_10,codes/inst/inst2020/Drahi_10.csv,2,HIGH_BATTERY,2.0,HOMOGENEOUS,HIGH_UNCERTAINTY,0.4,midday;midday;midday;midday;midday,830958979,DD-Drahi_10-d2-c6937b7632,93422615,613433734,5_56,24,44,44,54e3665c3e322d55,c62d6a0a4a5e678b,471521ab581c1c83,6b515e8b9cb47d09,1f2cebb9e1305906,37b1823116b2ec1b,1.0,0.2,126.0,0.2,32.0,32.0,5,100.0,10.0,1.0
29,SI-Drahi_10-d2-HET-ULO-BLO-8228c9b54d,PB-Drahi_10-d2-HET-ULO-e07c494df2,DA-Drahi_10-HET-d2-6b2782d1db,Drahi_10,codes/inst/inst2020/Drahi_10.csv,2,LOW_BATTERY,0.5,HETEROGENEOUS,LOW_UNCERTAINTY,0.1,morning;midday;night;midday;night,452168582,DD-Drahi_10-d2-c6937b7632,245664428,613433734,5_56,24,44,44,54e3665c3e322d55,c62d6a0a4a5e678b,471521ab581c1c83,6b515e8b9cb47d09,9f69e79b9e222195,95ff64d2b9f7a6c8,1.0,0.2,31.5,0.2,8.0,8.0,5,100.0,10.0,1.0
30,SI-Drahi_10-d2-HET-ULO-BHI-b2e074f2f3,PB-Drahi_10-d2-HET-ULO-e07c494df2,DA-Drahi_10-HET-d2-6b2782d1db,Drahi_10,codes/inst/inst2020/Drahi_10.csv,2,HIGH_BATTERY,2.0,HETEROGENEOUS,LOW_UNCERTAINTY,0.1,morning;midday;night;midday;night,452168582,DD-Drahi_10-d2-c6937b7632,245664428,613433734,5_56,24,44,44,54e3665c3e322d55,c62d6a0a4a5e678b,471521ab581c1c83,6b515e8b9cb47d09,9f69e79b9e222195,95ff64d2b9f7a6c8,1.0,0.2,126.0,0.2,32.0,32.0,5,100.0,10.0,1.0
31,SI-Drahi_10-d2-HET-UHI-BLO-c1c2c7daf3,PB-Drahi_10-d2-HET-UHI-19f3a9dd94,DA-Drahi_10-HET-d2-6b2782d1db,Drahi_10,codes/inst/inst2020/Drahi_10.csv,2,LOW_BATTERY,0.5,HETEROGENEOUS,HIGH_UNCERTAINTY,0.4,morning;midday;night;midday;night,452168582,DD-Drahi_10-d2-c6937b7632,93422615,613433734,5_56,24,44,44,54e3665c3e322d55,c62d6a0a4a5e678b,471521ab581c1c83,6b515e8b9cb47d09,9f69e79b9e222195,95ff64d2b9f7a6c8,1.0,0.2,31.5,0.2,8.0,8.0,5,100.0,10.0,1.0
32,SI-Drahi_10-d2-HET-UHI-BHI-80e59a2310,PB-Drahi_10-d2-HET-UHI-19f3a9dd94,DA-Drahi_10-HET-d2-6b2782d1db,Drahi_10,codes/inst/inst2020/Drahi_10.csv,2,HIGH_BATTERY,2.0,HETEROGENEOUS,HIGH_UNCERTAINTY,0.4,morning;midday;night;midday;night,452168582,DD-Drahi_10-d2-c6937b7632,93422615,613433734,5_56,24,44,44,54e3665c3e322d55,c62d6a0a4a5e678b,471521ab581c1c83,6b515e8b9cb47d09,9f69e79b9e222195,95ff64d2b9f7a6c8,1.0,0.2,126.0,0.2,32.0,32.0,5,100.0,10.0,1.0
33,SI-Drahi_100-d1-HOM-ULO-BLO-e3e83acc11,PB-Drahi_100-d1-HOM-ULO-b2ed04a452,DA-Drahi_100-HOM-d1-58697c85f1,Drahi_100,codes/inst/inst2020/Drahi_100.csv,1,LOW_BATTERY,0.5,HOMOGENEOUS,LOW_UNCERTAINTY,0.1,midday;midday;midday;midday;midday,2130951418,DD-Drahi_100-d1-897de19381,806764659,178574269,5_56,24,44,44,e91aff4a1f3182d8,472e98ea25813a6b,14a9421153c16293,55a8c77d0ca12b25,1f2cebb9e1305906,37b1823116b2ec1b,1.0,0.2,31.5,0.2,8.0,8.0,5,100.0,10.0,1.0
34,SI-Drahi_100-d1-HOM-ULO-BHI-4dee442235,PB-Drahi_100-d1-HOM-ULO-b2ed04a452,DA-Drahi_100-HOM-d1-58697c85f1,Drahi_100,codes/inst/inst2020/Drahi_100.csv,1,HIGH_BATTERY,2.0,HOMOGENEOUS,LOW_UNCERTAINTY,0.1,midday;midday;midday;midday;midday,2130951418,DD-Drahi_100-d1-897de19381,806764659,178574269,5_56,24,44,44,e91aff4a1f3182d8,472e98ea25813a6b,14a9421153c16293,55a8c77d0ca12b25,1f2cebb9e1305906,37b1823116b2ec1b,1.0,0.2,126.0,0.2,32.0,32.0,5,100.0,10.0,1.0
35,SI-Drahi_100-d1-HOM-UHI-BLO-fe4fcf8ead,PB-Drahi_100-d1-HOM-UHI-90e8ef9a1e,DA-Drahi_100-HOM-d1-58697c85f1,Drahi_100,codes/inst/inst2020/Drahi_100.csv,1,LOW_BATTERY,0.5,HOMOGENEOUS,HIGH_UNCERTAINTY,0.4,midday;midday;midday;midday;midday,2130951418,DD-Drahi_100-d1-897de19381,592861557,178574269,5_56,24,44,44,e91aff4a1f3182d8,472e98ea25813a6b,14a9421153c16293,55a8c77d0ca12b25,1f2cebb9e1305906,37b1823116b2ec1b,1.0,0.2,31.5,0.2,8.0,8.0,5,100.0,10.0,1.0
36,SI-Drahi_100-d1-HOM-UHI-BHI-ef43a2ddf4,PB-Drahi_100-d1-HOM-UHI-90e8ef9a1e,DA-Drahi_100-HOM-d1-58697c85f1,Drahi_100,codes/inst/inst2020/Drahi_100.csv,1,HIGH_BATTERY,2.0,HOMOGENEOUS,HIGH_UNCERTAINTY,0.4,midday;midday;midday;midday;midday,2130951418,DD-Drahi_100-d1-897de19381,592861557,178574269,5_56,24,44,44,e91aff4a1f3182d8,472e98ea25813a6b,14a9421153c16293,55a8c77d0ca12b25,1f2cebb9e1305906,37b1823116b2ec1b,1.0,0.2,126.0,0.2,32.0,32.0,5,100.0,10.0,1.0
37,SI-Drahi_100-d1-HET-ULO-BLO-2f4bdf534f,PB-Drahi_100-d1-HET-ULO-ee793f9116,DA-Drahi_100-HET-d1-580f568371,Drahi_100,codes/inst/inst2020/Drahi_100.csv,1,LOW_BATTERY,0.5,HETEROGENEOUS,LOW_UNCERTAINTY,0.1,midday;morning;night;morning;night,1408786266,DD-Drahi_100-d1-897de19381,806764659,178574269,5_56,24,44,44,e91aff4a1f3182d8,472e98ea25813a6b,14a9421153c16293,55a8c77d0ca12b25,cd2ca887fb2fa9c2,3a2d08a77061bb27,1.0,0.2,31.5,0.2,8.0,8.0,5,100.0,10.0,1.0
38,SI-Drahi_100-d1-HET-ULO-BHI-be7fc518e8,PB-Drahi_100-d1-HET-ULO-ee793f9116,DA-Drahi_100-HET-d1-580f568371,Drahi_100,codes/inst/inst2020/Drahi_100.csv,1,HIGH_BATTERY,2.0,HETEROGENEOUS,LOW_UNCERTAINTY,0.1,midday;morning;night;morning;night,1408786266,DD-Drahi_100-d1-897de19381,806764659,178574269,5_56,24,44,44,e91aff4a1f3182d8,472e98ea25813a6b,14a9421153c16293,55a8c77d0ca12b25,cd2ca887fb2fa9c2,3a2d08a77061bb27,1.0,0.2,126.0,0.2,32.0,32.0,5,100.0,10.0,1.0
39,SI-Drahi_100-d1-HET-UHI-BLO-58585d40ab,PB-Drahi_100-d1-HET-UHI-65bfec0e89,DA-Drahi_100-HET-d1-580f568371,Drahi_100,codes/inst/inst2020/Drahi_100.csv,1,LOW_BATTERY,0.5,HETEROGENEOUS,HIGH_UNCERTAINTY,0.4,midday;morning;night;morning;night,1408786266,DD-Drahi_100-d1-897de19381,592861557,178574269,5_56,24,44,44,e91aff4a1f3182d8,472e98ea25813a6b,14a9421153c16293,55a8c77d0ca12b25,cd2ca887fb2fa9c2,3a2d08a77061bb27,1.0,0.2,31.5,0.2,8.0,8.0,5,100.0,10.0,1.0
40,SI-Drahi_100-d1-HET-UHI-BHI-c82d5d1087,PB-Drahi_100-d1-HET-UHI-65bfec0e89,DA-Drahi_100-HET-d1-580f568371,Drahi_100,codes/inst/inst2020/Drahi_100.csv,1,HIGH_BATTERY,2.0,HETEROGENEOUS,HIGH_UNCERTAINTY,0.4,midday;morning;night;morning;night,1408786266,DD-Drahi_100-d1-897de19381,592861557,178574269,5_56,24,44,44,e91aff4a1f3182d8,472e98ea25813a6b,14a9421153c16293,55a8c77d0ca12b25,cd2ca887fb2fa9c2,3a2d08a77061bb27,1.0,0.2,126.0,0.2,32.0,32.0,5,100.0,10.0,1.0
